pickup_lat,pickup_lon,drop_lat,drop_lon,distance_km,duration_min,hour,day_of_week,is_weekend,temperature_C,weather,demand,supply,demand_supply_ratio,surge_factor,price_inr,timestamp
19.100308,72.822476,19.052642,72.810087,5.458,28.5,18,2,0,28.2,Rain,461,121,3.81,1.7,259.23,2025-10-15 18:55:36
19.112651,72.91661,18.944776,72.775745,23.827,52.1,0,3,0,26.1,Clear,158,121,1.31,1.05,441.14,2025-10-23 00:43:36
19.19805,72.787063,18.975277,72.897861,27.371,49.52,7,4,0,25.5,Clouds,98,112,0.88,0.96,439.19,2025-10-24 07:49:36
19.065648,72.965055,19.250833,72.871778,22.804,44.56,14,3,0,25.9,Clouds,109,201,0.54,1,392.76,2025-10-30 14:07:36
19.029015,72.782988,19.236655,72.84035,23.862,55.48,0,5,1,29.5,Clear,167,220,0.76,1.03,440.12,2025-11-08 00:25:36
19.268322,72.933649,18.92885,72.882905,38.122,80.51,10,6,1,25,Clouds,170,94,1.81,1.03,667.95,2025-10-19 10:57:36
19.002249,72.919565,19.145946,72.907905,16.025,31.57,7,2,0,29.5,Clear,143,124,1.15,0.98,279.73,2025-11-05 07:14:36
19.066529,72.925853,19.056442,72.841652,8.92,19.38,5,6,1,25.7,Clear,142,246,0.58,1.03,181.07,2025-11-02 05:46:36
19.05605,72.91079,18.909273,72.808844,19.526,60.84,12,2,0,29.9,Rain,267,5,53.4,2.81,1084.67,2025-10-29 12:07:36
19.224829,72.789588,19.26237,72.78033,4.286,9.77,22,5,1,27.7,Clouds,104,135,0.77,1.01,101.98,2025-10-25 22:44:36
18.935614,72.88526,18.904033,72.892636,3.596,8.03,21,1,0,26.6,Clear,152,181,0.84,1.01,90.12,2025-10-21 21:05:36
18.981476,72.928999,19.199207,72.952324,24.334,79.62,19,5,1,31.9,Clouds,383,32,11.97,2.72,1309,2025-11-01 19:40:36
19.133141,72.807182,19.031763,72.888784,14.164,32.5,11,3,0,28.6,Clouds,136,158,0.86,1.03,272.92,2025-11-06 11:14:36
19.201632,72.967192,19.245896,72.889438,9.533,21.74,6,4,0,28.3,Clear,152,192,0.79,0.96,180.35,2025-10-31 06:19:36
19.227999,72.777937,19.240093,72.877436,10.532,21.62,20,6,1,25.7,Clear,136,118,1.15,1,199.63,2025-11-02 20:11:36
18.977548,72.981242,19.010792,72.844033,14.892,33.49,0,6,1,28.2,Clear,148,113,1.31,1.07,294.98,2025-11-02 00:22:36
18.990614,72.955251,19.082564,72.922024,10.804,38.46,18,3,0,25.2,Clouds,438,119,3.68,1.5,354.85,2025-10-30 18:30:36
19.112854,72.933972,19.055132,72.928056,6.448,20.38,8,6,1,24.7,Clear,307,143,2.15,1.26,186.65,2025-10-12 08:50:36
19.268471,72.936598,19.164388,72.943881,11.599,27.07,4,4,0,24.7,Clear,75,209,0.36,0.97,216.62,2025-11-07 04:44:36
18.927233,72.899973,19.002446,72.838125,10.595,48.66,8,5,1,28.8,Rain,429,89,4.82,1.84,468.19,2025-10-18 08:36:36
18.997891,72.951603,19.16504,72.859323,20.964,41.99,21,3,0,29.1,Clear,55,156,0.35,0.97,354.59,2025-10-30 21:36:36
19.037842,72.808734,19.040245,72.868223,6.259,14.92,3,3,0,25.2,Clear,128,99,1.29,0.99,133.6,2025-11-06 03:55:36
19.068012,72.91752,19.205339,72.913414,15.276,27.5,11,0,0,25.6,Clear,183,65,2.82,1.27,340.75,2025-10-20 11:41:36
18.964737,72.790597,18.906985,72.903035,13.457,29.64,4,3,0,25.6,Clear,100,119,0.84,0.96,240.73,2025-11-06 04:02:36
19.16332,72.98239,19.056208,72.966678,12.024,39.58,18,5,1,31.9,Clear,541,33,16.39,2.54,643.75,2025-10-18 18:27:36
19.261164,72.863282,19.236506,72.939476,8.456,15.63,16,4,0,26.2,Clouds,142,65,2.18,1.18,192.03,2025-10-24 16:11:36
19.1208,72.91098,18.974532,72.786981,20.842,38.65,14,3,0,27.5,Clouds,195,33,5.91,1.68,600.42,2025-10-16 14:17:36
19.010667,72.973545,18.942354,72.915486,9.745,29.9,18,3,0,24.4,Clouds,452,19,23.79,2.54,525.13,2025-10-23 18:25:36
19.015462,72.946476,19.053308,72.847489,11.224,24.1,15,4,0,31,Clear,149,105,1.42,1.05,223.52,2025-11-07 15:10:36
19.227487,72.847309,19.012433,72.982201,27.797,104.19,18,4,0,32.8,Clouds,497,10,49.7,2.71,1549.95,2025-11-07 18:06:36
19.07322,72.797881,19.129027,72.942777,16.441,38.85,21,3,0,31.6,Clear,59,246,0.24,1.04,317.18,2025-11-06 21:20:36
19.048088,72.830869,19.033504,72.819083,2.041,3.97,1,3,0,29.3,Clouds,137,39,3.51,1.41,88.01,2025-11-06 01:09:36
18.923463,72.8345,18.95176,72.859346,4.09,8.63,0,5,1,31.5,Clear,83,126,0.66,0.97,93.45,2025-10-25 00:07:36
18.994652,72.808554,18.959797,72.955482,15.928,28.82,5,6,1,29.7,Clear,123,88,1.4,0.99,276,2025-11-09 05:47:36
19.198634,72.851061,18.996789,72.845365,22.452,63.03,15,3,0,27,Rain,251,5,50.2,2.64,1123.29,2025-10-16 15:48:36
19.067434,72.893101,19.045594,72.92139,3.839,9.15,6,5,1,32,Clouds,67,68,0.99,1.03,97.19,2025-10-25 06:14:36
19.065637,72.867316,19.081936,72.896416,3.555,7.54,22,6,1,28.4,Clear,141,61,2.31,1.2,105.27,2025-10-12 22:05:36
19.009007,72.847147,18.931936,72.932712,12.426,46.03,9,3,0,24.1,Clear,345,10,34.5,2.69,729.43,2025-10-30 09:26:36
18.935139,72.804778,18.976483,72.789669,4.864,11.45,14,5,1,27.1,Clear,168,64,2.62,1.23,136.86,2025-10-11 14:52:36
19.228388,72.890592,18.917851,72.813324,35.472,127.3,9,0,0,27.2,Clear,245,131,1.87,1.19,845.21,2025-10-27 09:42:36
19.109746,72.858392,18.942735,72.908662,19.308,101.91,17,2,0,26.1,Rain,491,5,98.2,2.71,1261.54,2025-10-22 17:58:36
18.997948,72.859146,19.008401,72.783659,8.021,14.95,22,3,0,27.3,Clear,82,185,0.44,1,156.15,2025-11-06 22:39:36
19.22533,72.913223,18.979406,72.956373,27.719,94.24,9,2,0,27.9,Clouds,253,120,2.11,1.31,721.94,2025-10-15 09:57:36
18.911374,72.871664,18.991281,72.818597,10.493,32.78,1,5,1,30.4,Rain,349,95,3.67,1.55,343.27,2025-11-01 01:16:36
18.980913,72.974205,19.220311,72.895567,27.873,54.9,5,5,1,30.9,Clouds,169,232,0.73,1.01,479.01,2025-11-01 05:55:36
19.119843,72.943026,19.142388,72.935338,2.634,6.08,7,6,1,31.1,Clouds,59,48,1.23,0.99,73.03,2025-11-02 07:01:36
19.205424,72.902496,19.15078,72.847485,8.384,26.68,18,6,1,31.8,Clouds,272,143,1.9,1.17,215.25,2025-11-02 18:27:36
19.094035,72.930019,18.931796,72.869813,19.118,34.77,10,1,0,26.7,Clear,51,236,0.22,0.95,312.52,2025-10-21 10:32:36
18.984771,72.8805,18.974199,72.947907,7.185,15.27,0,4,0,28.4,Clear,180,220,0.82,0.98,143.81,2025-10-17 00:27:36
19.265232,72.841705,18.897471,72.979015,43.364,95.51,7,1,0,25.5,Clear,62,99,0.63,1.02,756.22,2025-11-04 07:52:36
18.987763,72.820123,19.21481,72.93754,28.1,85.89,17,3,0,28.5,Clear,399,177,2.25,1.24,668.34,2025-11-06 17:15:36
19.191487,72.849952,18.945516,72.790789,28.049,63.36,0,2,0,28.9,Clear,175,33,5.3,1.62,799.15,2025-11-05 00:18:36
19.103847,72.844907,19.021879,72.967554,15.787,31.61,22,6,1,30.3,Clouds,102,219,0.47,1.02,288.31,2025-10-12 22:54:36
18.989855,72.783531,18.960117,72.824923,5.466,15.11,2,1,0,26,Rain,298,22,13.55,2.73,343.49,2025-10-21 02:20:36
19.082053,72.821492,19.099801,72.787015,4.126,8.17,15,1,0,24.3,Clear,119,244,0.49,1.01,96.81,2025-11-04 15:06:36
19.060782,72.868282,19.207284,72.937442,17.837,41.91,6,3,0,30.8,Clear,123,189,0.65,1.02,334.42,2025-10-16 06:50:36
19.020309,72.806143,19.150038,72.89086,16.951,32.51,1,2,0,29.6,Clouds,155,225,0.69,1.05,313.35,2025-11-05 01:25:36
18.945959,72.872873,19.268433,72.781768,37.113,70.55,4,2,0,25.6,Clouds,79,132,0.6,0.97,597.96,2025-11-05 04:46:36
18.927136,72.789304,19.185084,72.975567,34.726,83.08,3,4,0,30.7,Clear,83,83,1,1.04,637.38,2025-10-31 03:02:36
19.256669,72.827734,19.006724,72.834889,27.803,106.76,18,3,0,27.6,Clear,372,158,2.35,1.24,715.68,2025-10-23 18:00:36
19.221202,72.835008,19.050836,72.923011,21.079,79.38,9,5,1,29.9,Clear,290,208,1.39,1.16,512.38,2025-10-11 09:02:36
19.071344,72.870861,19.177265,72.875764,11.789,23.11,13,1,0,25.7,Clear,136,66,2.06,1.2,261.23,2025-10-14 13:26:36
18.999863,72.905727,19.057721,72.794744,13.323,25.19,15,0,0,30.6,Clouds,177,192,0.92,0.99,237.86,2025-10-20 15:53:36
19.214901,72.836585,18.918971,72.808974,33.034,88.96,2,3,0,32,Thunderstorm,336,5,67.2,2.75,1661.91,2025-10-16 02:04:36
19.059345,72.958863,19.204628,72.912655,16.868,44.03,3,6,1,26.9,Rain,298,82,3.63,1.58,506.37,2025-10-19 03:01:36
19.075953,72.898123,19.070731,72.810274,9.25,21.43,15,3,0,29,Clouds,168,120,1.4,1.07,196.73,2025-10-23 15:17:36
18.898684,72.905085,19.258642,72.836566,40.668,85.35,2,6,1,32.3,Clouds,190,40,4.75,1.57,1081.29,2025-11-09 02:12:36
19.135868,72.94282,18.948573,72.820254,24.489,44.3,2,5,1,28,Clear,76,84,0.9,1.02,420.72,2025-10-25 02:46:36
19.151439,72.820223,19.085002,72.889376,10.361,21.98,12,4,0,31.2,Clouds,105,246,0.43,0.99,196.32,2025-11-07 12:56:36
19.079903,72.908815,19.223222,72.863757,16.624,54.64,17,1,0,31.9,Clear,468,10,46.8,2.49,843.56,2025-10-14 17:15:36
19.142278,72.979852,19.204073,72.844232,15.815,33.38,2,3,0,32.9,Clouds,175,249,0.7,1.01,289.4,2025-10-23 02:28:36
18.931405,72.886094,19.161653,72.808418,26.873,104.58,18,6,1,27.4,Clear,476,157,3.03,1.45,814.35,2025-11-02 18:24:36
19.204379,72.932083,19.152734,72.844209,10.87,24.64,10,5,1,26.8,Clouds,125,99,1.26,1,209.72,2025-10-18 10:38:36
19.222747,72.925361,19.115823,72.846343,14.499,28.28,10,5,1,32.7,Clouds,76,234,0.32,1,260.56,2025-10-25 10:16:36
19.048465,72.841043,19.053934,72.79428,4.952,9.28,5,6,1,25.6,Clouds,149,212,0.7,0.98,105.83,2025-10-26 05:20:36
19.249611,72.889684,19.008788,72.777678,29.25,165.48,18,2,0,27.1,Rain,413,5,82.6,2.77,1972.12,2025-10-22 18:49:36
19.135706,72.928698,19.105178,72.944347,3.772,14.76,9,1,0,26.1,Clear,399,99,4.03,1.56,163.45,2025-10-21 09:23:36
18.91976,72.826819,18.912941,72.972593,15.353,33.24,20,0,0,25.7,Clear,96,115,0.83,0.98,275.11,2025-10-27 20:18:36
19.056617,72.823205,19.004773,72.929261,12.551,29.64,15,6,1,32,Clouds,109,61,1.79,1.1,263.87,2025-10-26 15:33:36
19.218138,72.832442,19.211151,72.88844,5.931,11.74,2,2,0,26.4,Clouds,108,115,0.94,0.96,119.67,2025-10-15 02:10:36
19.207963,72.966011,18.98504,72.855651,27.366,54.47,4,0,0,25.5,Clear,163,109,1.5,1.09,509.39,2025-11-03 04:18:36
19.122671,72.984297,18.915145,72.969836,23.126,48.63,5,2,0,26.3,Clear,135,132,1.02,1.04,420.96,2025-10-29 05:14:36
18.988696,72.880532,19.034693,72.820703,8.107,18.59,10,6,1,26.7,Clear,53,169,0.31,0.97,159.53,2025-11-02 10:28:36
19.025734,72.892641,19.12799,72.976018,14.355,28.63,20,2,0,30.3,Clear,116,73,1.59,1.07,277.68,2025-10-15 20:01:36
19.11872,72.822996,19.072927,72.831013,5.161,10.65,15,2,0,30.5,Clouds,147,111,1.32,1,113.24,2025-10-15 15:23:36
18.93792,72.841411,19.021953,72.882848,10.31,29.23,20,1,0,25.3,Thunderstorm,349,8,43.62,2.62,555.88,2025-10-21 20:54:36
19.200217,72.903254,19.008679,72.947324,21.796,49.87,7,3,0,31.7,Clear,78,128,0.61,0.98,383.46,2025-10-23 07:24:36
19.270322,72.983137,18.964714,72.872132,35.928,112.46,19,2,0,30.9,Clear,227,62,3.66,1.51,1035.94,2025-10-29 19:15:36
19.004472,72.865547,18.94783,72.87512,6.378,13.04,20,5,1,26.1,Clear,53,162,0.33,1.04,137.92,2025-10-25 20:01:36
19.076638,72.775008,19.10305,72.979571,21.695,45.16,3,5,1,28,Clear,116,235,0.49,0.95,361.62,2025-11-01 03:48:36
18.907163,72.904534,19.087576,72.845206,21.008,39.42,3,0,0,28.2,Clear,127,204,0.62,1.02,368.16,2025-10-20 03:48:36
19.210393,72.956864,19.110627,72.785825,21.114,48.16,0,0,0,29.5,Clouds,59,169,0.35,0.98,372.1,2025-11-03 00:47:36
19.216112,72.828474,19.088375,72.81089,14.323,40.43,16,0,0,24.4,Rain,296,99,2.99,1.47,415.62,2025-10-27 16:01:36
18.923994,72.952748,19.07415,72.790761,23.85,135.11,18,5,1,32.7,Rain,351,37,9.49,2.66,1559.86,2025-11-08 18:46:36
19.262949,72.931997,18.902823,72.915813,40.08,86.96,6,1,0,31.4,Clouds,155,160,0.97,0.97,664.34,2025-11-04 06:22:36
18.893019,72.858415,19.009807,72.866686,13.015,50.96,17,6,1,31,Clear,426,103,4.14,1.52,437.92,2025-10-12 17:55:36
18.90926,72.793646,19.1839,72.817238,30.639,64.86,1,4,0,31.5,Clear,190,65,2.92,1.3,685.6,2025-10-31 01:47:36
19.151192,72.800127,19.008123,72.943119,21.883,44.82,12,6,1,29,Clear,151,202,0.75,1.03,393.7,2025-11-09 12:27:36
19.103198,72.935646,18.906994,72.847315,23.711,55.39,6,6,1,29.3,Clear,106,57,1.86,1.09,463.59,2025-11-09 06:01:36
19.106987,72.905974,19.245539,72.921039,15.487,34.98,23,3,0,29.1,Clear,158,217,0.73,1.01,288.66,2025-10-23 23:34:36
19.190884,72.816286,19.073085,72.857356,13.791,39.05,10,4,0,29.5,Rain,156,22,7.09,2.19,599.18,2025-10-24 10:03:36
18.926641,72.972752,18.989545,72.835766,16.014,31.84,22,4,0,32.8,Clouds,171,210,0.81,1.02,291.56,2025-10-31 22:46:36
19.15851,72.899061,18.928981,72.811442,27.133,61.46,20,0,0,32,Clear,196,127,1.54,1.04,497.66,2025-11-03 20:03:36
19.021209,72.951163,18.934824,72.828991,16.04,52.65,1,3,0,24.4,Rain,196,139,1.41,1.28,419.57,2025-10-16 01:20:36
18.936535,72.795709,18.898243,72.792259,4.273,9.38,5,6,1,32,Clouds,110,215,0.51,0.96,96.04,2025-10-12 05:04:36
19.057074,72.807923,18.941676,72.787456,13.011,39.83,5,6,1,31.9,Rain,256,5,51.2,2.83,752.2,2025-10-12 05:19:36
18.997296,72.802885,19.247804,72.796495,27.863,107.2,8,0,0,26,Clear,524,44,11.91,2.54,1470.07,2025-10-13 08:56:36
19.10816,72.962009,19.033589,72.890915,11.161,25.95,13,5,1,29.6,Clouds,89,187,0.48,1.01,218,2025-10-11 13:07:36
19.038812,72.936129,18.920341,72.781646,20.914,42.26,13,3,0,29.3,Clear,151,237,0.64,0.97,354.53,2025-11-06 13:54:36
19.176116,72.818549,19.142403,72.942816,13.58,35.19,15,2,0,31.3,Thunderstorm,118,217,0.54,1.24,326.53,2025-10-29 15:39:36
19.167609,72.948329,19.22614,72.960198,6.627,14.46,1,2,0,31.1,Clouds,144,239,0.6,1.04,143.98,2025-10-29 01:26:36
18.948254,72.927278,19.058074,72.798018,18.27,36.69,4,3,0,28.2,Clouds,166,189,0.88,0.98,316.16,2025-11-06 04:17:36
18.920043,72.886318,19.080571,72.852996,18.19,40.07,21,3,0,30.7,Clear,106,78,1.36,1.06,348.12,2025-11-06 21:07:36
19.15428,72.861374,19.18481,72.894854,4.888,8.89,22,6,1,26.4,Clouds,199,99,2.01,1.19,126.66,2025-10-19 22:23:36
18.961151,72.834823,19.235144,72.968054,33.529,74.46,12,2,0,32.8,Clear,52,67,0.78,1.03,598.7,2025-11-05 12:11:36
19.169295,72.955484,18.950114,72.910825,24.82,57.92,15,1,0,32,Clear,80,134,0.6,1.02,452.54,2025-10-14 15:51:36
19.003404,72.818188,19.062949,72.981504,18.4,34.41,4,6,1,32.9,Clear,190,229,0.83,0.99,316.42,2025-11-02 04:16:36
19.228848,72.777662,19.051339,72.854327,21.318,42.91,5,3,0,24.9,Clear,140,211,0.66,1.01,375.35,2025-10-16 05:56:36
19.197878,72.83256,19.07447,72.816008,13.832,32.13,1,3,0,31.1,Clouds,177,145,1.22,0.98,255.03,2025-10-16 01:05:36
19.004249,72.83035,19.083812,72.939722,14.506,55.77,19,6,1,30.5,Clear,535,66,8.11,2.15,678.57,2025-10-12 19:06:36
19.136568,72.932462,19.242581,72.885991,12.758,26.23,14,5,1,26.3,Clear,156,238,0.66,0.98,230.85,2025-10-25 14:33:36
19.26436,72.951898,19.072749,72.820461,25.388,57.68,2,4,0,29.9,Clear,158,67,2.36,1.21,544.51,2025-10-31 02:25:36
19.16012,72.980892,19.142116,72.877656,11.027,23.23,3,3,0,24.5,Clouds,125,37,3.38,1.29,269.32,2025-10-23 03:39:36
18.924458,72.836486,19.032001,72.883213,12.928,30.17,6,5,1,25.2,Clear,78,127,0.61,0.98,240.56,2025-11-01 06:54:36
19.164615,72.955922,18.98905,72.966663,19.555,36.81,6,3,0,32.6,Clear,110,106,1.04,1.02,345.04,2025-10-16 06:29:36
19.055874,72.934417,18.928174,72.887994,15.015,28.93,6,6,1,26.1,Clouds,118,213,0.55,1.03,276.08,2025-10-26 06:08:36
18.93779,72.812324,19.162588,72.947141,28.733,79.15,23,6,1,31.1,Rain,215,169,1.27,1.18,629.05,2025-11-02 23:55:36
18.915079,72.798227,19.192634,72.783954,30.899,101.78,3,6,1,24.2,Rain,229,5,45.8,2.57,1553.17,2025-11-09 03:08:36
19.212746,72.788205,18.966493,72.788938,27.382,101.98,9,5,1,26.1,Clouds,390,80,4.88,1.69,950.71,2025-10-11 09:18:36
19.168951,72.85196,19.051431,72.84162,13.113,24.45,3,6,1,29.1,Clear,193,209,0.92,0.96,226.81,2025-10-19 03:33:36
19.102697,72.937496,18.895036,72.948332,23.119,74.4,18,2,0,30.1,Clouds,424,112,3.79,1.56,711.7,2025-10-15 18:03:36
19.217346,72.824358,19.132903,72.888138,11.534,27.28,15,5,1,26.4,Clear,117,70,1.67,1.1,245.27,2025-10-11 15:56:36
19.023009,72.775443,18.921242,72.9403,20.702,101.14,17,2,0,26.1,Rain,397,179,2.22,1.47,706.64,2025-11-05 17:18:36
18.974934,72.867974,19.210381,72.835683,26.4,79.48,17,0,0,27.6,Clear,338,84,4.02,1.55,783.91,2025-10-20 17:28:36
19.10164,72.922855,18.96114,72.809355,19.658,41.37,13,6,1,30.2,Clear,87,75,1.16,1.03,359.09,2025-10-12 13:04:36
19.037492,72.880697,19.027238,72.804181,8.124,17.06,20,4,0,26,Clouds,102,41,2.49,1.24,200.39,2025-10-10 20:10:36
18.964901,72.95307,18.916592,72.816983,15.288,36.28,7,2,0,24.3,Clouds,188,115,1.63,1.07,306.03,2025-10-15 07:45:36
19.149122,72.908332,18.921672,72.817496,27.034,55.46,10,6,1,28.7,Clouds,69,200,0.34,0.95,442.05,2025-11-09 10:14:36
18.940814,72.85773,19.014018,72.861683,8.151,17.55,3,3,0,31.7,Clear,61,111,0.55,0.99,161.27,2025-10-30 03:51:36
19.177911,72.83801,18.952055,72.826933,25.141,52.78,13,5,1,28.3,Clear,133,85,1.56,1.08,472.23,2025-10-11 13:16:36
19.043682,72.974235,18.904085,72.900483,17.352,37.59,14,4,0,27.4,Clear,93,138,0.67,0.97,304,2025-10-17 14:18:36
18.903507,72.88217,19.050206,72.811122,17.942,66.06,17,6,1,27,Clouds,540,164,3.29,1.43,539.7,2025-11-09 17:14:36
19.252133,72.934145,19.124182,72.979565,15.006,31.28,21,3,0,28,Clear,178,100,1.78,1.09,297.17,2025-10-23 21:56:36
18.923939,72.811391,18.966796,72.942005,14.54,82.44,8,1,0,32.9,Rain,456,55,8.29,2.37,875.39,2025-11-04 08:04:36
18.981393,72.813547,18.901601,72.971032,18.79,36.35,16,1,0,28.2,Clear,53,207,0.26,1.05,344.59,2025-10-21 16:14:36
19.009057,72.828524,19.122197,72.818791,12.622,49.29,8,5,1,31.1,Clouds,389,157,2.48,1.29,361.27,2025-10-11 08:12:36
19.200783,72.824648,19.184902,72.779378,5.071,11.72,13,3,0,26.7,Clouds,183,137,1.34,0.98,112.01,2025-10-23 13:10:36
18.966421,72.78675,19.187971,72.831475,25.08,93.43,17,5,1,30.7,Clear,260,137,1.9,1.12,579.96,2025-10-25 17:35:36
18.93687,72.903528,19.233404,72.835401,33.741,67.33,23,5,1,28.9,Clear,101,151,0.67,1.04,592.35,2025-11-08 23:42:36
19.064845,72.881218,19.151722,72.870388,9.727,25.84,16,1,0,27.6,Thunderstorm,238,156,1.53,1.2,238.1,2025-10-14 16:18:36
19.005197,72.855541,18.90219,72.80771,12.51,27.64,21,0,0,24.5,Clouds,137,166,0.83,0.96,225.99,2025-11-03 21:04:36
19.070898,72.781567,19.049847,72.78256,2.343,5.06,0,6,1,28.8,Clear,93,110,0.85,1.03,70.29,2025-10-19 00:08:36
19.058979,72.854253,19.090726,72.78325,8.255,17.32,5,0,0,30.7,Clear,190,184,1.03,1.04,170.25,2025-10-13 05:12:36
19.203667,72.970704,18.994737,72.970287,23.232,53.15,21,5,1,31.4,Clear,82,180,0.46,0.95,394.33,2025-10-18 21:12:36
19.254933,72.932431,19.037089,72.882158,24.792,57.17,12,6,1,29.2,Clear,57,237,0.24,1.03,455.1,2025-10-26 12:45:36
19.262348,72.911239,19.14419,72.949852,13.75,38.65,2,2,0,28.4,Thunderstorm,223,5,44.6,2.75,748.83,2025-10-29 02:56:36
19.094213,72.853625,19.235916,72.809299,16.43,37.56,22,1,0,25.3,Clouds,63,75,0.84,0.97,293.22,2025-11-04 22:50:36
18.897994,72.944255,19.200626,72.88313,34.259,160.58,8,1,0,28.2,Rain,601,141,4.26,1.83,1394.93,2025-11-04 08:10:36
